游戏名,vndb_id,中文名,别名,发行年份,品牌,限制级,脚本,原画,音乐,声优,难度,平均分,评分人数,rank,系列作,时长,时长分钟,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11
STEINS;GATE 0,v17102,命运石之门 0,シュタインズ・ゲート・ゼロ、シュタゲゼロ、S、G 0、Shutage 0,2015,MAGES.,全年龄,林 直孝、安本 亨、たきもと まさし、土屋 つかさ,松尾 ゆきひろ、huke、池田 靖宏、甚六、すずき めい、撫荒 武吉、福田 知則、上野 こけもも‏、只野 和子,MANYO、志倉 千代丸、阿保 剛、悠木 真一、荒幡 亮平、大島 こうすけ,花澤 香菜、今井 麻美、桃井 はるこ、矢作 紗友里,beginner、easy、normal,7.9,3196,488,否,长篇,2100,悬疑,科幻,时间旅行,夏天,阴谋,反乌托邦,,,,,
時計仕掛けのレイライン-朝霧に散る花-,v16212,时钟机关的Ley-line-朝雾中飘零之花-,A Clockwork Ley-Line: Flowers Falling in the Morning Mist,2015,Unison Shift: Blossom,R18,風間 ぼなんざ、西ノ宮 勇希、@ピース、市川 環,いとう のいぢ、ぺろ、うらび,水月 陵,森谷 実園,easy、normal,7.8,1490,651,是,中篇,1014,悬疑,时间旅行,魔法,转生/轮回,真女主,奇幻,,,,,
ネコぱら vol.0 水無月ネコたちの日常！,v17763,,,2015,NEKO WORKs,全年龄,雪仁,さより,水城 新人,小倉 結衣、ヒマリ、有坂 羽由、成瀬 未亜、手塚 りょうこ、佐倉 江美、中村 あむ,easy、normal,5.7,886,9806,是,超短篇,80,宅邸,,,,,,,,,,
Evenicle -イブニクル-,v16640,夏娃年代记,Evenicle,2015,Alice Soft,R18,イマーム、よーいちろー、ヨイドレ・ドラゴン,MIN-NARAKEN、八重樫 南、はぎや まさかげ,水夏 える、PKタートルズ,北見 六花、平野 響子、秋野 花、姫川 あいり,easy、normal,7.4,1796,1731,是,超长篇,3600,战斗,奇幻,魔法,阴谋,,,,,,,
うたわれるもの 偽りの仮面,v7721,传颂之物-虚伪的假面-,うたわれるもの2、Utawarerumono: The False Faces、受讚颂者 虚伪的假面,2015,Leaf/AQUAPLUS,全年龄,涼元 悠一、菅 宗光、まるいたけし、日暮 茶坊、中村 浩二郎、秋月 ひろ、暮羽 松葉,みつみ 美里、甘露 樹,石川 真也、豆田 将、松岡 純也、下川 直哉、林 茂樹、小林 俊太郎,江口 拓也、櫻井 孝宏、村瀬 歩、藤原 啓治、加隈 亜衣、山本 希望、原 由実、種田 梨沙、水瀬 いのり、利根 健太朗,easy、normal,8,1561,467,是,长篇,2220,战斗,奇幻,科幻,失忆,超能力,魔法,阴谋,末日,犯罪,战争,
ピュア×コネクト,v16166,与你心相连,Pure x Connect、PURE×CONNECT、纯白链接,2015,SMEE,R18,モーリー、早瀬 ゆう、松倉 慎二,真海、あめと ゆき,折倉 俊則、Sound Studio B,春日 アン、柚木 サチ、新山 ゆうき,easy、normal,7.5,1009,1455,否,中篇,1788,咖啡厅,,,,,,,,,,
恋×シンアイ彼女,v17516,想要传达给你的爱恋,School Girls Stories、Koi-Kakeru Shin-Ai Kanojo、Koikake、恋彼女,2015,Us:track,R18,新島 夕、真崎 ジーノ、茶渡 エイジ、条智 涼介,ぺろ、しらたま、きみしま 青、倉澤 もこ、志水 マサトシ,水月 陵、Meis Clauson,原田 友貴、遥 そら、遠野 そよぎ、阿部 朔、日傘 世玲那,beginner、easy、normal,7.2,3576,2867,否,中篇,1601,真女主,,,,,,,,,,
彼女のセイイキ,v16150,她的圣域,,2014,feng,R18,なかひろ,涼香、なちゅらるとん,堀江 晶太、ほーの,遥 そら,easy、normal,6.2,1196,8475,否,短篇,360,单女主,,,,,,,,,,
あの晴れわたる空より高く,v15077,冲破万里晴空之上,Byakko、Haretaka、Anohare、はれたか、造火箭、하레타카、나로호、晴空万里意凌云,2014,Chuablesoft,R18,範乃 秋晴,ちり,けんせい,あじ 秋刀魚、香澄 りょう、結衣菜、秋野 花、陸奥 出流,easy、normal,7.9,496,599,否,长篇,1903,岛屿,创作/设计题材,,,,,,,,,
Clover Day's,v13325,幸运草的约定,Clover Days、クローバーデイズ、CLD、幸运草的约定,2014,ALcot,R18,空下 元、宮蔵、保住 圭、瀬尾 順,ちこたむ、鳴海 ゆう、仁村 有志、生煮え、あおな まさお,MANYO、Manack,桐谷 華、遠野 そよぎ、北見 六花、くすはら ゆい、黒須 桐子,beginner、easy、normal,7.2,2640,2711,否,长篇,2625,多角恋,,,,,,,,,,
ネコぱら vol.1 ソレイユ開店しました！,v15538,,Cats Paradise、巧克力和香草、巧克力与香子兰、NEKOPARA Vol. 1,2014,NEKO WORKs,R18,雪仁,さより,水城 新人、PHA,ヒマリ、中村 あむ、八木 侑紀、佐伯 伊織,easy、normal,6.1,1733,9009,是,短篇,360,多角恋,咖啡厅,,,,,,,,,
アマカノ,v15679,甜蜜女友,,2014,Azarashi Soft,R18,龍 岳来,ピロ水、茜屋,Duca、安瀬 聖、Peak A Soul+、斎藤 悠弥、Sawamurah,真中 海、木村 あやか、秋野 花,normal,7.2,368,2659,是,长篇,1800,民俗,,,,,,,,,,
美少女万華鏡 -かつて少女だった君へ-,v14240,美少女万华镜 -献给曾是少女的你-,美少女万華鏡 ―かつて少女だった君へ―、美少女万華鏡２．５、Biman 2.5,2014,ωstar,R18,吉祥寺 ドロレス,八宝備 仁,むにょっ、盛合 千鶴子、ポパン、秋山 裕和,真中 海、葵 時緒,easy、normal,5.8,1897,9767,是,超短篇,55,奇幻,民俗,单女主,,,,,,,,
晴のちきっと菜の花びより,v14886,晴霁之后定是菜花盛开的好天气,宛如雨后天晴菜花开、Haruno、Nanohana、Harenochi Kitto Nanohana Biyori、雨过天晴必定花开日和、晴菜花,2014,Parasol,R18,田中 タクヤ、種村 いのり、ナツメアラシ,魚、ちこたむ、桜 はんぺん、いずみゆひな,はなちゃん、solfa、iyuna、橋咲 透、伊吹 ユキヒロ、こはるん,北見 六花、星咲 イリア、杏子 御津、春乃 いろは,easy、normal,6.3,1107,7798,否,中篇,1560,失忆,多角恋,转生/轮回,真女主,,,,,,,
できない私が、くり返す。,v15166,若能与你再次相见,时钟物语、苹果妹、Time leap,2014,AKABEiSOFT2,R18,中島 大河,秋空 もみぢ、蒼月 しのぶ,tiko-μ、Miyaji、西坂 恭平,手塚 りょうこ、藤乃 理香、花澤 さくら、葵 ゆり、星野 七海,easy、normal,7.2,1118,2467,否,长篇,1898,时间旅行,真女主,,,,,,,,,
ハロー・レディ!,v13631,淑女同萌！,ハロレ、Hello、Lady、Deny your destiny、should fly to fly,2014,Akatsuki WORKS（晓WORKS）,R18,日野 亘、衆堂 ジョオ,さえき 北都,Angel Note、Meis Clauson、井ノ原 智、椎名 俊介、BAL,遥 そら、北見 六花、桜坂 かい、水崎 来夢、梅咲 チャーリー,easy、normal,6.9,875,4304,否,长篇,2362,悬疑,战斗,超能力,阴谋,犯罪,,,,,,
アストラエアの白き永遠,v12984,星辰恋曲的白色永恒,星辰少女的白色永远、Elfin song's an unlimited expanse of white、White Eternity of AstralAir、AstralAir no Shiroki Eien、星辰少女的纯白永恒,2014,FAVORITE,R18,なかひろ、保住 圭、高山 大河,なつめ えり、司田 カズヒロ、GT、比良里、ミズタマ,はなちゃん、忍、小高 光太郎、野崎 心平,桐谷 華、小鳥居 夕花、鈴谷 まや、卯衣、桃山 いおん、桃園 にな、双葉 まりか,easy、normal,7.1,1134,2933,否,超长篇,3570,悬疑,战斗,超能力,真女主,,,,,,,
FLOWERS - Le volume sur printemps -,v14267,FLOWERS 春篇,Flowers Haru-hen、Flowers1、FLOWERS -The volume of spring-、The tale of the girls who grow with a season、Yurigure,2014,Innocent Grey,全年龄,志水 はつみ,杉菜 水姫、翡翠,MANYO,名塚 佳織、岡本 理絵、明島 ゆうり,easy、normal,7.2,1503,2517,是,中篇,1080,悬疑,多角恋,同性恋,,,,,,,,
CHAOS;CHILD,v14018,混沌子,カオスチャイルド、C、ChäoS、Child、カオチャ,2014,MAGES.,全年龄,林 直孝、谷崎 央佳、安本 亨、たきもと まさし、梅原 英司,ささき むつみ、松尾 ゆきひろ、藤田 まり子、立石 聖、東山 マキ、旭プロダクション,志倉 千代丸、阿保 剛、磯江 俊道、林 達志、大山 曜、悠木 真一、荒幡 亮平,藤原 祐規、三森 すずこ、松岡 禎丞、桐本 琢也、ブリドカット・セーラ・恵美、上坂 すみれ、種田 梨沙、仲谷 明香、水瀬 いのり,beginner、easy、normal,8.4,4615,137,是,超长篇,3375,悬疑,战斗,科幻,血腥,超能力,阴谋,犯罪,记忆篡改,疾病,,
魔女こいにっき,v14062,魔女恋爱日记,まじょこいにっき、MajoNikki,2014,Qoobrand,R18,新島 夕、博恵 夏樹、佐藤礼、藤井 リルケ、条智 涼介,ぺろ、MOZUKU、白もち 桜、小桜 りょう、狗神 煌、朝倉 はやて,古川 竜也、I've、水月 陵、樋口 秀樹、ピクセルビー、中沢 伴行、MintJam,佐本 二厘、結衣菜、楠原 ゆい、山田 ゆな、森川 ゆゆ、千葉山 もみじ、M・A・O,easy、normal,7.2,1662,2849,否,中篇,1738,悬疑,魔法,奇幻,,,,,,,,
サツコイ～悠久なる恋の歌～,v15143,杀恋～悠久流传的恋之歌,杀恋～悠久的恋爱之歌～、Satsukoi ~Yuukyuu Naru Koi no Uta~,2014,Alcot,R18,瀬尾 順,風見 春樹、あおな まさお,トライノート,有栖川 みや美、くすはら ゆい、市川 ひなこ,easy、normal,6.5,626,6815,否,中篇,647,血腥,,,,,,,,,,
フラテルニテ,v14895,友爱俱乐部,fraternite、有爱俱乐部,2014,CLOCKUP,R18,和泉 万夜、穂波 衛一、神堂 劾、昏式 龍也、Team N.G.X,はましま 薫夫、むなし むじょう、まりお、滝 美梨香、たくろう、十重 五重,NASH MUSIC LIBRARY,手塚 りょうこ、橘 まお、鶴屋 春人、藤堂 みさき、和葉、こたつ みやこ、芦久比 剥巳,easy、normal,5.6,910,10056,否,中篇,1084,血腥,犯罪,,,,,,,,,
駄作,v14922,駄作,Dasaku,2014,CYCLET,R18,桜庭 丸男,憂狐,電気式華憐音楽集団,桜 水季、鶴屋 春人、柚木 サチ、木多野 あり,easy、normal,5.9,744,9411,是,中篇,747,血腥,犯罪,同性恋,,,,,,,,
蒼の彼方のフォーリズム,v12849,苍之彼方的四重奏,Beyond the sky、into the firmament.、あおかな、Four Rhythm Across the Blue、4Rhythm、Aokana、아오카나,2014,sprite,R18,渡辺 僚一、木緒 なち、陸奥 竜介、かづや,悠木 いつか、鈴森、丹羽 ことり,I've、Elements Garden、菊田 大介、藤間 仁、藤田 淳平、上松 範康、母里 治樹、岩橋 星実、喜多 智弘、中沢 伴行、尾崎 武士、森藤 晶司、末益 涼太、藤永 龍太郎,米澤 円、福圓 美里、浅倉 杏美、山本 希望,beginner、easy、normal,7.8,4362,693,否,长篇,2655,战斗,岛屿,,,,,,,,,
ランス9 ヘルマン革命,v13802,兰斯9 赫尔曼革命,Rance 9 - The Helman Revolution -、ランスⅨ,2014,Alice Soft,R18,ぷりん、ヨイドレ・ドラゴン,織音,水夏 える、DJ C++、PKタートルズ,无配音,beginner、easy、normal,8.2,2204,199,是,超长篇,3377,战争,真女主,,,,,,,,,
恋がさくころ桜どき,v10304,恋花绽放樱飞时,Saku Saku、恋爱在樱开之时、恋爱绽放樱飞时,2014,Palette,R18,みなせ未來,eco*、和泉 つばす,BURTON、田辺 トシノ、宝野 聡史、大久保 薫,上原 あおい、夏峰 いろは、近衛 夜空、咲智 ゆん、綾部 結花,easy、normal,6.2,1091,8611,否,长篇,2640,转生/轮回,,,,,,,,,,
高考恋爱100天,v17716,,Gaokao Love 100 Days、高考恋爱100天、Gao Lian、高恋,2014,Juzi Ban,全年龄,海潮探长、炒饭,33,煉獄庭園、H/MIX GALLERY、Days乐团,霜叶、月夜桥,easy、normal,6.6,1068,5868,是,中篇,1462,国产,,,,,,,,,,
月に寄りそう乙女の作法2,v15293,近月少女的礼仪2,Tsuriotsu 2,2014,Navel,R18,東ノ助,鈴平 ひろ、西又 葵、羽純 りお、白羽 奈尾、ごろう,アッチョリケ、Arte Refact、鈴木 マサキ,遥 そら、奏雨、遠坂 リリ、野々山 紅、遥 うみ,easy、normal,6.8,1480,5121,是,长篇,2401,真女主,创作/设计题材,,,,,,,,,
紙の上の魔法使い,v15871,纸上的魔法使,Kamimaho、かみまほ、Kami no Ue no Mahoutsukai、纸魔,2014,Uguisu Kagura,R18,ルクル,桐葉、萩野 小唄,めと、神無月,御苑生 メイ、花澤 さくら、橘 まお、姫原 ゆう,beginner、easy、normal,7.8,4413,663,否,长篇,2010,魔法,转生/轮回,岛屿,记忆篡改,奇幻,,,,,,
天色＊アイルノーツ,v12167,天色幻想岛,天色Islenauts,2013,Yuzusoft,R18,J・さいろー、鏡 遊、紺野 アスタ、天宮 りつ,こぶいち、こもわた 遙華、むりりん,Angel Note、Famishin、森 まもる、井ノ原 智,夏野 こおり、桐谷 華、北見 六花、登代田 瀬良、雪都 さお梨、雪野 玉,easy、normal,6,1686,9336,否,长篇,2803,岛屿,,,,,,,,,,
大図書館の羊飼い,v8158,大图书馆的牧羊人,a good librarian like a good shepherd,2013,AUGUST,R18,榊原 拓、内田 ヒロユキ、安西 秀明,べっかんこう、脳みそホエホエ、夏野 イオ,小高 光太郎、Ceui、Active Planets、松本 慎一郎、スミイ酸、藤井 亮太、DJ SHIMAMURA、Reb、Sampling Masters MEGA,米澤 円、遥 そら、種﨑 敦美、斉藤 佑圭、山本 希望、小澤 亜李,beginner、easy、normal,7.4,2409,1600,否,长篇,2492,失忆,魔法,奇幻,,,,,,,,
君と彼女と彼女の恋。,v7738,你和她和她的恋爱。,Totono、The Love Between You、Her、and Her、토토노、你和她和她的恋爱。、君彼女、君彼,2013,NITRO+,R18,下倉 バイオ,津路 参汰,平田 博信、Franz Liszt,手塚 まき、仙道 ミツキ,beginner、easy、normal,7.4,3778,1791,否,中篇,900,时间旅行,多角恋,meta,,,,,,,,
ランス01 光をもとめて,v14022,兰斯01 寻找小光,Rance 1 Remake、Rance 01 - The Quest for Hikari,2013,Alice Soft,R18,いってんちろく、ダイス ころがし,魚介,DragonAttack、水夏 える、DJ C++,无配音,beginner、easy、normal,7,2738,3827,是,中篇,900,悬疑,战斗,奇幻,魔法,犯罪,,,,,,
虚ノ少女,v5922,虚之少女,Kara no Shoujo 2、殻2、ウロ、Uro no Shoujo、KnS2、虚少,2013,Innocent Grey,R18,鈴鹿 美弥,杉菜 水姫,MANYO,森井 花音、野月 まひる、河村 眞人、篠原 ゆみ、井村屋 ほのか、杏 花、高橋 がならない、歩 サラ、桧鶴まき、道出 翔,beginner、easy、normal,7.4,2175,1836,是,长篇,2482,悬疑,血腥,犯罪,民俗,,,,,,,
ハピメア,v10957,幸福噩梦,Hapimea、Happy Nightmare、Happy Mayor,2013,Purple software,R18,森崎 亮人,こもわた 遙華、克、月杜 尋,斎藤 悠弥、虻川 治、宝野 聡史、田中 俊裕,青山 ゆかり、青葉 りんご、遠野 そよぎ、北見 六花、風音,easy、normal,6.9,954,3996,否,长篇,2400,悬疑,梦境,,,,,,,,,
時計仕掛けのレイライン －残影の夜が明ける時－,v11093,时钟机关的Ley-line-残影之夜将明时-,A Clockwork Ley-Line -Daybreak of Remnants Shadows-,2013,Unison Shift: Blossom,R18,風間 ぼなんざ、西ノ宮 勇希、@ピース、市川 環,ぺろ、うらび、いいの,水月 陵、羽鳥 風画,白月 かなめ、有村 祥,easy、normal,7.8,1455,731,是,中篇,1080,悬疑,奇幻,魔法,转生/轮回,梦境,真女主,,,,,
魔導巧殻 ～闇の月女神は導国で詠う～,v11620,魔导巧壳,まどうこうかく やみのつきめがみはどうこくでうたう,2013,Eushully,R18,高杉 九郎、八雲 意宇、福山貴紀、箱十、平安京、飛行候補生、若葉,鳩月 つみき、やくり、みつき、よしだ たくま,有限会社 クワイア、しほり、ジル・ブラッド、ケニーK,比留間 京之介、絋川 琴音、桜川 未央、藤森 ゆき奈、四季 路、北見 六花、篠崎 双葉、冬馬 由美、巌 蝉秋、樹士 メイヤ、御田 代紺、夏川 文香、村里 琉,easy、normal,7.4,907,1699,否,超长篇,5115,战斗,奇幻,魔法,阴谋,战争,,,,,,
グリザイアの楽園,v7724,灰色的乐园,The Eden of Grisaia,2013,Frontwing,R18,藤崎 竜太、鳴海 瑛二、かづや、桑島 由一,フミオ、渡辺 明夫、ななか まい、加藤 たいら,Elements Garden、菊田 大介、藤間 仁、藤田 淳平、ピクセルビー、松本 文紀、母里 治樹、岩橋 星実、喜多 智弘、中山 真斗、￥Cuスタ平,雪見 そら、一色 ヒカル、民安 ともえ、楠 鈴音、羽仁 麗、岡村 美佳沙,easy、normal,7.8,1086,754,是,中篇,1560,战斗,科幻,犯罪,,,,,,,,
向日葵の教会と長い夏休み,v10557,向日葵的教会与长长的暑假,Himanatsu、ひまなつ、Himawari no Kyoukai to Nagai Natsuyasumi,2013,Makura,R18,J・さいろー、紺野 アスタ、藤倉 絢一、黒田 カイエ、すかぢ,硯、吉田 誠治、高苗 京鈴、狗神 煌、籠目、基4、新川 尚士、すかぢ,濱田 智之、松本 文紀,夏野 こおり、かわしま りの、雪都 さお梨、如月 葵、羽鳥 空,easy、normal,7.7,1908,931,否,长篇,2098,战斗,奇幻,夏天,民俗,乡村,,,,,,
フレラバ ～Friend to Lover～,v11856,,FL、Friend Lover、朋友恋人、FTL、Fureraba、Fureraba ～Friend to Lover～,2013,SMEE,R18,木村 ころや、モーリー、柊 晴空、早瀬 ゆう、松倉 慎二,ひなた もも、REI、あめと ゆき、かのら,Angel Note、Meis Clauson、kala、R.East、井ノ原 智、椎名 俊介,あじ 秋刀魚、東 かりん、秋野 花、水邑 琴音,beginner、easy、normal,7.8,2041,704,否,长篇,2365,,,,,,,,,,,
美少女万華鏡 -忘れな草と永遠の少女-,v11071,美少女万华镜 -勿忘草与永远的少女-,美少女万華鏡2、Biman 2,2012,ωstar,R18,吉祥寺 ドロレス,八宝備 仁,むにょっ、盛合 千鶴子、ポパン、秋山 裕和,佐倉 もも花、御苑生 メイ,beginner、easy、normal,6.8,3440,5047,是,短篇,450,梦境,,,,,,,,,,
いろとりどりのヒカリ,v10028,五彩斑斓的曙光,The Eternal Chapter In World's End Tale、Colorful Light、Irohika、光鸟鸟,2012,FAVORITE,R18,漆原 雪人,なつめ えり、司田 カズヒロ、GT、みなみ,Ceui、忍、菊地 創、小高 光太郎,藤森 ゆき奈、澤田 なつ、杏子 御津、加乃 みるく、外屋 舞美、美波 りお,easy、normal,7.7,1757,871,是,长篇,2360,奇幻,时间旅行,转生/轮回,meta,真女主,,,,,,
D.C.III ～ダ・カーポIII～,v6438,初音岛3,DC3,2012,CIRCUS,R18,たけうち こうた、雨野 智晴、望月 JET、愛羽,鷹乃 ゆき、結月 かりん、こなた、秋蕎麦、たにはら なつき、eco*、立羽、東山 マキ,桃井 はるこ、yozuca*、齋藤 真也、猫野 こめっと、tororo、rino、黒須 克彦、戸田 章世、lotta、Hiroki、kyoro、本田 宗、西脇 辰弥、キョロザワールド,新田 恵海、宮崎 羽衣、又吉 愛、桜咲 千依、藤邑 鈴香、佐々木 未来、海保 絵果,normal,7.2,237,2641,是,超长篇,3435,时间旅行,魔法,岛屿,奇幻,,,,,,,
あえて無視するキミとの未来 ～Relay broadcast～,v10803,硬要无视与你的未来,Aete Mushisuru Kimi to no Mirai ~Relay broadcast~,2012,Alcot,R18,瀬尾 順,風見 春樹、タコ焼き、あおな まさお、Riv,Angel Note、井ノ原 智、椎名 俊介,桐谷 華、北見 六花、雪都 さお梨、上田 朱音,easy、normal,7,958,3461,否,中篇,998,夏天,,,,,,,,,,
屋上の百合霊さん,v8508,屋上的百合灵,Yuri Ghosts on the Rooftop、屋上的百合幽灵同学,2012,Liar-soft,R18,桜井 光、睦月 たたら、禾 刀郷,ぺぐ,Blueberry&Yogurt、HIR,かわしま りの、高井戸 雫、金田 まひる、草柳 順子、富樫 ケイ,normal,7.4,426,1796,否,中篇,1710,夏天,同性恋,,,,,,,,,
夏空のペルセウス,v10597,夏空的英仙座,The Brave Under The Summer Sky.、夏色天空下的珀尔修斯、Natsupers、夏ペル、Natsuzora no Perseus,2012,minori,R18,御影、鏡 遊、竹田,庄名 泉石、柚子奈 ひよ、高崎 まこ,天門、柳 英一朗,楠原 ゆい、桜井 美鈴、市川 ひなこ、立花 あおい,easy、normal,6.3,1303,7896,否,中篇,729,夏天,转生/轮回,乡村,真女主,,,,,,,
創刻のアテリアル,v8424,创刻的动脉,创刻,2012,Eushully,R18,八雲 意宇、箱十、平安京、飛行候補生、若葉,鳩月 つみき、やくり、みつき,有限会社 クワイア、ケニーK,かわしま りの、伊東 サラ、佐々 留美子、青葉 りんご、有栖川 みや美、金田 まひる、篠原 ゆみ、水霧 けいと、岩田 由貴,easy、normal,6.9,525,4079,否,超长篇,5820,悬疑,战斗,科幻,超能力,,,,,,,
ファタモルガーナの館,v12402,海市蜃楼之馆,ファタモル、fata馆,2012,NOVECT,全年龄,縹 けいか,靄太郎,堤 裕介、守屋 昂生、アイカワ ラズナ、がお、Mellok'n,瀬戸 麻沙美,beginner、easy、normal,8.4,2999,131,是,长篇,2100,悬疑,失忆,转生/轮回,犯罪,民俗,宅邸,,,,,
この大空に、翼をひろげて,v9093,在这苍穹展翅,Extend the little wings which fly in this sky highly、Konosora、IMHHW、Konoaobasa、Korogete、코노소라、If My Heart Had Wings、在这广阔的天空下展翅吧,2012,PULLTOP,R18,平松 正樹、七烏未 奏、紺野 アスタ、奥田 港,田口 まこと、八島 タカヒロ、基井 あゆむ、Yow、塩澤 良憲,ツーファイブ、おおくま けんいち,有栖川 みや美、五行 なずな、星咲 イリア、雪都 さお梨、萌花ちょこ,easy、normal,7.3,800,2023,否,长篇,2760,悬疑,夏天,多角恋,创作/设计题材,,,,,,,
はつゆきさくら,v7302,初雪樱,White Graduation、Hatsusaku、はつさく、Hatsuyuki Sakura,2012,SAGA PLANETS,R18,新島 夕,ほんたにかなえ、とらのすけ、ちまろ、有末 つかさ、小桜 りょう,I've、水月 陵、ピクセルビー、竹下 智博、川崎 海、八木沼 悟志、高瀬 一矢、中沢 伴行、尾崎 武士,桐谷 華、杏子 御津、山羽 みんと、佐本 二厘、七原 ことみ、涼屋 スイ,beginner、easy、normal,7.4,3151,1582,是,中篇,1774,悬疑,奇幻,民俗,雪,真女主,,,,,,
スーパーダンガンロンパ2 さよなら絶望学園,v7679,超级弹丸论破2 再见了绝望学园,Danganronpa 2、Super Danganronpa 2、SDR2,2012,Spike Chunsoft,全年龄,小高 和剛,小松崎 類,高田 雅史,石田 彰、岸尾 だいすけ、花澤 香菜、小林 ゆう、細谷 佳正、杉田 智和、安元 洋貴、福山 潤、緒方 恵美、高山 みなみ、小清水 亜美、朴 璐美、三石 琴乃、三森 すずこ、荒川 美穂、茅野 愛衣,beginner、easy、normal,8.5,4979,98,是,长篇,2400,悬疑,科幻,失忆,岛屿,犯罪,记忆篡改,,,,,
はるまで、くるる。,v9198,春开，意遥遥。,HaruKuru、Spring has come true?、はるくる、直到春天到来。、轮转至此、待春临。、春日远遥遥、春滚滚,2012,Sumikko Soft,R18,渡辺 僚一,笹井 さじ、師走 ほりお,SHIM、電気、mo2,かわしま りの、青葉 りんご、芹園 みや、竹岡 美柳,easy、normal,7.4,681,1808,是,中篇,1290,悬疑,科幻,失忆,时间旅行,多角恋,末日,,,,,
時計仕掛けのレイライン -黄昏時の境界線-,v10016,时钟机关的Ley-line-黄昏时刻的境界线-,A Clockwork Ley-Line: The Borderline of Dusk,2012,Unison Shift: Blossom,R18,風間 ぼなんざ、西ノ宮 勇希、@ピース、市川 環,ぺろ、うらび、きちえも,水月 陵、羽鳥 風画,かわしま りの、古河 徹人、森谷 実園、門倉 宗一、萌花ちょこ,easy、normal,6.7,1541,5604,是,中篇,1020,悬疑,魔法,真女主,奇幻,,,,,,,
月に寄りそう乙女の作法,v10680,近月少女的礼仪,つり乙、Tsuriotsu,2012,Navel,R18,王 雀孫、森林 彬、東ノ助、真紀士,鈴平 ひろ、西又 葵、羽純 りお、ごろう,アッチョリケ、Arte Refact,小野 涼子、咲乃 藍里、吉田 真弓、大橋 歩夕、中村 繪里子,beginner、easy、normal,7.6,5211,1004,是,长篇,2276,宅邸,创作/设计题材,,,,,,,,,
グリザイアの迷宮,v7723,灰色的迷宫,Grisaia no Meikyuu -Le Labyrinthe de la Grisaia-、The Labyrinth of Grisaia,2012,Frontwing,R18,藤崎 竜太、木緒 なち、鳴海 瑛二、かづや、桑島 由一,フミオ、INO、渡辺 明夫、ななか まい、加藤 たいら,Elements Garden、菊田 大介、藤間 仁、藤田 淳平、母里 治樹、岩橋 星実、喜多 智弘、中山 真斗、￥Cuスタ平,雪見 そら、一色 ヒカル、民安 ともえ、かわしま りの、楠 鈴音、羽仁 麗、青山 ゆかり、岡村 美佳沙,easy、normal,7.6,1009,1021,是,中篇,1740,战斗,战争,,,,,,,,,
黄雷のガクトゥーン～What a shining braves～,v11033,黄雷的伽克苏恩～何等闪耀的勇气～,Ourai no N'gah-Kthun、黄雷的伽克苏恩,2012,Liar-soft,R18,桜井 光,千枚葉,Blueberry&Yogurt,一色 ヒカル、かわしま りの、桜川 未央、野月 まひる、古河 徹人、杉原 茉莉、ますおか ゆうじ,normal,7.2,250,2427,是,中篇,1500,战斗,超能力,阴谋,岛屿,,,,,,,
魔法使いの夜,v777,魔法使之夜,Mahoyo,2012,TYPE-MOON,全年龄,奈須 きのこ,武内 崇、こやま ひろかず、加藤 たいら、ゆうろ、下越、WINFANWORKS,KATE、hil、深澤 秀行、ryo、James Harris、Antonio Vivaldi,花澤 香菜、戸松 遥、安済 知佳、小林 裕介、深町 寿成,beginner、easy、normal,8.6,7025,53,是,长篇,1800,战斗,时间旅行,魔法,宅邸,奇幻,,,,,,
DRACU-RIOT!,v8213,,ドラクリオット,2012,Yuzusoft,R18,J・さいろー、天宮 りつ、姫ノ木 あく,こぶいち、こもわた 遙華、むりりん,Angel Note、Famishin、井ノ原 智,夏野 こおり、佐藤 しずく、鈴木 恵莉央、鮎川 ひなた,beginner、easy、normal,7,2617,3851,否,长篇,2700,战斗,奇幻,魔法,岛屿,,,,,,,
ルートダブル -Before Crime * After Days-,v5000,Root Double -Before Crime * After Days-,√W、Root W、ビフォークライム アフターデイズ,2012,Regista,全年龄,中澤 工、月島 総記、月島 トラ、日向 もやし、高木 聖子,みけおう、ことるり。、おおたか 鳴海、わだぺん。,佐藤 拓馬、矢鴇 つかさ,真堂 圭、友永 朱音、今井 麻美、佐藤 利奈、大川 透、豊口 めぐみ、市来 光弘、新垣 樽助、名塚 佳織,easy、normal,7.7,565,920,否,超长篇,3300,悬疑,科幻,失忆,夏天,超能力,记忆篡改,,,,,
妹調教日記～こんなツンデレが俺の妹なわけない！～,v9303,妹调教日记,妹调教日记~这么傲娇不可能是我的妹妹~、妹调,2011,NANACAN,R18,鳴海 瑛二、ななか まい,ななか まい,SENTIVE、ジョルト 宮田、S、ぱん、平 綾,桃華 れん,beginner、easy、normal,4.8,2321,10481,否,短篇,416,单女主,,,,,,,,,,
恋愛0キロメートル,v6714,恋爱0公里,Zerokiro、renzero、恋0、恋零,2011,ASa Project,R18,企画屋、天都、十 全、廣瀬 一貴,夕凪 セシナ、柊 暁生、たかへろ、ぱん太,桃井 はるこ、古川 竜也、山下 航生、rian,田村 ゆかり、種﨑 敦美、桃井 はるこ、岡嶋 妙、小野 涼子、清水 愛、吉田 真弓、鈴谷 まや、阿澄 佳奈,easy、normal,6.9,1007,4445,否,中篇,1131,多角恋,meta,,,,,,,,,
